dataset,seed,fold,n_test,fold_mask_sha256
CCLE,3,3,1136,89ad51b218e831671d37e084016c6d5364150025617e909e9c73fce70e5d331a
CCLE,3,4,1136,f38c121aefc59e660b70aace71228a1b30529a7020f79bbe977ee757b6f6f704
CCLE,3,5,1136,ea03269e304f77c02391e8e3221f5631a55968b2b022447aa9bf1379a65597be
CCLE,3,6,1136,95a39a0cb08a68d4328dfe172c82b9de97867696bc19e0dbc7c04745ee99dd45
CCLE,3,7,1136,d36dc7c52fbea0fa70ec0cbceb9cb693846633c15b4c29f888705ad3303f88e5
CCLE,3,8,1136,cec582b939f039f1683d06e91a3dbdb17306714e63bc969555df8cf3911a0913
CCLE,3,9,1136,5a67aa62c8e9763740291153237a6937ec1fb24016e2059da61c5f85f729a770
CCLE,3,10,1136,5d597e414352042f4c2920e4633bb5104531956c35dc7b1bbaaf77eb9a326d4f
CCLE,4,1,1136,0f0c92d52359b2c6475c4003ac0a2eeb82546611e49d7452b48ba85b25808687
CCLE,4,2,1136,4486409c332978812408b478a1d8ffb519d0e04900d599d62d6210697b1f7b0d
CCLE,4,3,1136,5da05d5a8d6e3436050de05e70218e9781c22ee2c8c38e83bbc3764f75c10f9c
CCLE,4,4,1136,82008c1b5c79ecb3cb5b3379c8d14c5ea7e797361eace75089a7fa644c47b284
CCLE,4,5,1136,8ae627be27a04175705660320f8e1de37e0f29e3ca7a21cc07bef7d5f43fb6b1
CCLE,4,6,1136,13c041aaf2ca9dac5a0061c552dfc58b4cc8a3e03968c576e5552a1f2b6f8796
CCLE,4,7,1136,07ba14e633c853ead238f97dfc6aa5f3ef5d7ae9250f4617f8788bebba1fbac9
CCLE,4,8,1136,4d0118b0f6b81c995d843ff8b65369890d7eb7e347f7f855e1d726fcf5bdc89e
CCLE,4,9,1136,94cf62052c6cf626599fc9f2863e9dc73ca1211e340e5f4ee0b3a6bfbf027f56
CCLE,4,10,1136,a1c9fbc4347107f39ae2507b8aba1ed136d8ec86dbdc3791e0bef40a80c4c86f
CCLE,5,1,1136,427d4988e7d39750f07659759076c068100ca6a49bcd3cf3737a2ed0e79f77aa
CCLE,5,2,1136,273205dac69e6bfbc021caea8b6e4275be487ab1702a2241242145139a11e5c7
CCLE,5,3,1136,5995ae1faffca3c0bfc800658a3efae7a11e758de73d9300bc199abd78901023
CCLE,5,4,1136,9d8d7e902dc0e415fae91c982e24dcf01b1088ed2926c5c6da704fc6366e6045
CCLE,5,5,1136,5cf4abcfc0d04ddcb7034ceceae7f4bf064e16263cab1a6096988e9ff82eeed6
CCLE,5,6,1136,79bd4bc035e299efff707b37432544584307f773fe8a19468df2c0a8079acc05
CCLE,5,7,1136,509b9222a5a9ab1813b9a13cbd7c5f78cc3ffddfb0e5cf493598e14212dbff87
CCLE,5,8,1136,d841676d1dd2426cca33e2714753e15b6492304b8df86bbe26e634ccb3bed08c
CCLE,5,9,1136,84a736c84eda19b0bcc99d9fafb636242bc6a7f0479d062e001af2efbeacb03d
CCLE,5,10,1136,c8684d4df0892c2a22ab0fe77ccf654ba897c13ca246dd951cca433fee8a578c
CCLE,6,1,1136,29749cbcf29989608b86db44287e54563c714058b0303d9e186f616f7b16166e
CCLE,6,2,1136,52756b1718ffc8661be029b993bc7ce16b08759bc68a9026ae1a0570f6c4b365
CCLE,6,3,1136,5c15a1b01877f55f55dd4e464d64a760f3fccf57876b8b08779d9a4db243d26e
CCLE,6,4,1136,436d6155c21df316798003210039238b3e94e28ca272ed4a8fc660ed601e99b2
CCLE,6,5,1136,392bde3984cc983ccc678eb13075e187a857fb9a91c1b16850d80e128cff3ca7
CCLE,6,6,1136,376a8f1ac05c7464e396a8dd27f2490d262a4190995e3af6c3841cbabf589d75
CCLE,6,7,1136,08c098b0ef767675b366b07baef3aa7de3e787bc9505abf7b67688c1ef42dd0a
CCLE,6,8,1136,208bf46f64f9757691b8dcab015b8f7411f898d4ee32016de36ee34325dd7f78
CCLE,6,9,1136,5003724980282319cc28e56598c8c74d6172b908753fd5e1c4b1438c50bb1c67
CCLE,6,10,1136,f8fde197945bac50e57897a763246bc029b253f6080f4b4ed83a6c7ca68e9130
CCLE,7,1,1136,b95c3e1abc62798e3a9d0d5ebabf101c1087561b362126ea2548cd48ae111272
CCLE,7,2,1136,d2fbb4ff92517f29ab4e4e507a4f0a243e2b0951a2f723877f28dc821ce8abd2
CCLE,7,3,1136,ccdb7df60890da996fdafaa596f31e8a19f14e7f88df2e8ec137ecea0ab379ab
CCLE,7,4,1136,c45c5d0a871eb1aab6ef2e5e7e72ffd61c00179b66afe6c4bfda27619909bb98
CCLE,7,5,1136,b4bcffd62f30c7cf60035c261c1df0f7984b206125e970566d03e2e0e5feba61
CCLE,7,6,1136,d58dbf7716fbe93ea7630aa6282e8184ff9e94c3dce722f9f18dc86f531d1488
CCLE,7,7,1136,4c2f3b176a6599d4d4c495e1e18bc8ba8791e48fca5d64493d781bc8af9613e4
CCLE,7,8,1136,1efd1792771ffc2343faec66955afefe9061d93cf4e0c4d1d9df9dfdc1de8895
CCLE,7,9,1136,5bfeb98d85581081a1d208bad8e99fcdce7ade8eb32a5ce2f15f9ff10d3b38a9
CCLE,7,10,1136,a0f72dc05a3065de700b4472e323b363ce0727bfeb5a7cbc5966850f2a8cb1a6
CCLE,8,1,1136,74e3e4e39fdaca3065864c26fdda4a03a91492003967fc27eba43f5e36508c0e
CCLE,8,2,1136,77c2b6b04ce4774f2ab84c7477d2be01f5cccab59e58702390944c3fcdcfa16b
CCLE,8,3,1136,25896361079dbf84eb5c2e7feb947f430b9dac97d582495cae9afe182ce9e1ca
CCLE,8,4,1136,4327c9cac1d0ac8fc2817847914812ca40ddd72e3336dc708eeb5016a4983afe
CCLE,8,5,1136,4a866363b9169398d7e617c5854425b89b60259b6d16d037b912d24b8008eb6c
CCLE,8,6,1136,eace24607c88fd0172c06f33257bf825ddb7a4093052111bcf116d1a3c4b42bd
CCLE,8,7,1136,452f99b6bd92666743cc23a8af7835d47bfd8c334e60716327b1ac05d19e4284
CCLE,8,8,1136,6c152d55118e949a9d46b67435a3ca4aa454a1eea1156b3cb675fe57cac94581
CCLE,8,9,1136,085a95448f81e83d4200eba057ef51294420afdfa0168537c5fb7d88d042b21b
CCLE,8,10,1136,1dc9d5fa762e80a2a6fcd488b0420e496a613facc779bd9c78af32728ed03e39
CCLE,9,1,1136,9bcfc9d86d35ceb21136256f73cb2702dc834dcdd1c29da419212bddd7092852
CCLE,9,2,1136,00a24d865e12c523e71b343a60e7381011d2b5acf910735e0acf233097f5d8d5
CCLE,9,3,1136,5fc5865eac64ce47c1ba844d31dac7d8d95b10a60d32eb6b0c8e920b5d08d0f5
CCLE,9,4,1136,75e96a1e0a638e77736a24e7ab7c25f0de9c5777f50cc5fe1a9456da37a70c43
CCLE,9,5,1136,aea7c27bf745733242393ca3e47ee9e77477030f8e7e18f3eb40a9c49ccaeaff
CCLE,9,6,1136,6b1a2ab953e2ba29ffe5e9bfb8678fdb6b9858293ad97fdacb0afb7fd95f62c6
CCLE,9,7,1136,cc88630eb79915c26448e984154a252aa35ccc8862cb92a5c42ea9d779ebb9db
CCLE,9,8,1136,755d75c4505a7cc7c0ae5a4417e68692b7245a6f13d6604ad276e902aee6ef73
CCLE,9,9,1136,a192ae10127071be73f12d3b56df71826d471e070cadcd498646ee6777407d4d
CCLE,9,10,1136,1f99076c310ec2db1bdf5ce7b10aa9c213cf43e47bd16c27f8caa8b4e84204ee
ERKAUC30,0,1,1454,5b383053e4853cdd36943164199427dc41509ec53dd62292779d8b8c7d4df59a
ERKAUC30,0,2,1454,a77a141fba3670d1ec71d94d5e845a8f8737e60bdbecc537974558a084b5a50e
ERKAUC30,0,3,1454,797fc0a51d6cc7fc3aa1a14de2ae1b5ce92cc17e0f8fbf3a12741d9827a33b8b
ERKAUC30,0,4,1454,cad47af3f8603a54523f622d1ac16082464dc5f26bdbc81fe4ee89a9118814e2
ERKAUC30,0,5,1454,9d6f621f6643281f6621ef7293e6ca3c955caa18bff690b086aa1b72209d8206
ERKAUC30,0,6,1454,c24154dbdc1c9325d8e5cf686f0805e9f89a7f43d422c2399611b31a0ce0887b
ERKAUC30,0,7,1454,28509a4c437315b31efa064f85d4520b59b04946411d17419c086b093015401b
ERKAUC30,0,8,1454,5d8148958afc8721187a00851743b03863e2138f63452c911d66b8ea31dbcd3f
ERKAUC30,0,9,1453,c4e55d2af48c1697d3b306c9683d13dfe778e9cc7d0bd18a07c87d57d7490001
ERKAUC30,0,10,1453,498fc50df7df1330ae3e5d43d08288ce1b6b96b13f6ed87ebdba1533e9162678
ERKAUC30,1,1,1454,8ece4c43ddf4dc55de3f1958a1dd4112687fac2e2bfb05ef5907620aeeafd3e1
ERKAUC30,1,2,1454,2edf5602f374db2ebf7e34a6a339a2f553f0065dd97b901cb6a1faa2bea2638e
ERKAUC30,1,3,1454,7700b35b1a337f58929ada536780d6d86986367dd4bf2050288d9c9586aaa15f
ERKAUC30,1,4,1454,cd1b53c2bc49ed79fd092860bbb4423b5c3b1f40eb698ebf596859b2c65cc053
ERKAUC30,1,5,1454,8a53e349ea19fd31c04b8d1619b77fec53f12ceb0232969274f43d0dee9474e1
ERKAUC30,1,6,1454,5b68831b2eb55198632bbc2cedd8bd33d105da856f7bdd138a7d9535345df741
ERKAUC30,1,7,1454,1fe88e7dd9fc3c251025760c53a768cb0bee773179da92cbaf532e65ed56e9a4
ERKAUC30,1,8,1454,85df5c29753b7bdca1b35967b30fc7fc9b5642d9c445f78676cb61e9004e4e57
ERKAUC30,1,9,1453,5ad9014789f6c21909bc222cc09de1e81f6d078ed20d14403cedc01a7fd8344d
ERKAUC30,1,10,1453,4aa77ce6eff0ec0397d7b4dda137533878bf5ec864159ecac626ae6dfcb24c8b
ERKAUC30,2,1,1454,4dae10a566b0d0f22d4e6a7058b6750c0af50cd5abde5dcd8ec968c0810bb6d3
ERKAUC30,2,2,1454,83848e6de4f3b2c6e04849304e0f603f603dc658148cbe9a2111599d94208a52
ERKAUC30,2,3,1454,c8be37b8fb6c624ba84551d74f977befdee1d1e6e1b86661bdc93acbbfea52fd
ERKAUC30,2,4,1454,db99bdf728206fe254892db0b714bc1e5512ee5004ecca4fd5ffebba76ee4e5f
ERKAUC30,2,5,1454,48a6e5303c74cc52165b1d2cff365dc2c27c543d04a51d725ccfc113a4134d9c
ERKAUC30,2,6,1454,bc975e6ecaca873c9274e51f59ae92d306fa5d024abb0fb385738effcbba011d
ERKAUC30,2,7,1454,70b4559976e18c2e81cc223f99a7a41f5018749c024a2302e2300421e55c07c0
ERKAUC30,2,8,1454,83908f250ec27f951b8dab32048c99fcf1da7653ec91200bc539d30208ef5be1
ERKAUC30,2,9,1453,ac3ef455bd73808f066841349f15f2ce4789f7aaa8ba1bccfda3c3c0e5decf34
ERKAUC30,2,10,1453,0adc0675d07962d00f1640fdc7f4c92a57c4f20d78ed08c2a6ee2ed908f36e02
ERKAUC30,3,1,1454,f280a921d3ee58ce381ec230bd6b8e514ff3092a0e482e1143fda10f8e62d1e5
ERKAUC30,3,2,1454,8b33602c69c81fdfad9a53b797993236c038f60687d1fa513fa48beaf8f8a27e
ERKAUC30,3,3,1454,bb71014304a9e8f9ba255f6ad2ebaff92e732f9e6d2f3d3e781bd41d1da60937
ERKAUC30,3,4,1454,58dfb30f6d9a489e353f51e324a93be5039a79e50924906bce918bf18cd8bd3e
ERKAUC30,3,5,1454,2eed5750e506cac7bdd189a3e60af3c259dc0e85fe62d6b68a6e483dda0fa2d6
ERKAUC30,3,6,1454,60e5027ba5153e507a89d7b02ea413ef9f29d85daa4d6945e9bc5312032843f3
ERKAUC30,3,7,1454,5662984a01524e851c50c13af69db895bfe183127d2dc0f4446834bf9551818d
ERKAUC30,3,8,1454,fa31e9b905ae4576af050c346689f11466919b7c16dff300418bb4ef9d6e71bf
ERKAUC30,3,9,1453,2d255f179ff1f5574fa48a7cff9deaf7cfe11488ff09287b221f4c1be9c98e1a
ERKAUC30,3,10,1453,d5edefc0bf35789490ca5b7c637142efa6c2bdadcb967bf51e4d31c2661e9ba6
ERKAUC30,4,1,1454,4676a73d219248f14f9e26b8d6150e82fc8d9a714828753a5a21905999a0bfd7
ERKAUC30,4,2,1454,2be18a5b57521182877dc50cf2aa75c3bbfd883e02c0a06d7c31bb3176bf4ca5
ERKAUC30,4,3,1454,de7f0bc2d381ede788d4c56fcaad75405443b6052751434341bb93fdb3302d58
ERKAUC30,4,4,1454,c375b290ecc6d1d53fe50f533038fc2520ee08714243af7c2a948fddbb6d549b
ERKAUC30,4,5,1454,e37e74c7cda3a89639b124e1e8bea21c780831a4111887ee234993927a3708da
ERKAUC30,4,6,1454,48e53c880befb6ff9391ae5336ee4b80fec323b0078171dd32a8c5b6e94d5e2e
ERKAUC30,4,7,1454,538b6a94c704c98c04d4ffec92f09bcb69a054c630fd6541b8c165ade31aea31
ERKAUC30,4,8,1454,b8c18e88f8509fd63ded0e87ccb12176794d058baa15d0d68687bc2f87514a00
ERKAUC30,4,9,1453,1ec7d5521f0872b1a6df5ea4cc2a3ce8a7bdc240025089261ad102571612bd7f
ERKAUC30,4,10,1453,41ae1f4c3d48ec43f471c140898057444952f7fbe6accb8cf515a7e23c403171
ERKAUC30,5,1,1454,6ffcaa42ee763d83a9ed0987818a9d10f8873ad6d3350b9e2c7f01cfce66917c
ERKAUC30,5,2,1454,af48fb82b89f2839576f27952ceb81689c207f4aebbb1a6f09ca50368e6ce472
ERKAUC30,5,3,1454,213b41864dc7339645d193ad774e8ac0dd7b61819724d013fb5d4b616e16af4b
ERKAUC30,5,4,1454,448ff7f8403d7d19a7b285232a9b2eaf0d45bed18a1a6805f4ac450c7a7c93ed
ERKAUC30,5,5,1454,70b236c960a83f9e15f4717de1612899105de6d495e8023e7bb3d4169025fb73
ERKAUC30,5,6,1454,6470a8a82bd78f6d0718dbfcfd342623ff9c9125022555c33cd9c3f248abcb27
ERKAUC30,5,7,1454,a6cc7a436d5d904a7e1594af1001731655a2fd8d42c196204cf458221c9258ef
ERKAUC30,5,8,1454,dc00a4f9cc9204d4ecd04414ac2ea5b39c32b76b4dd1dfe0787334226f8dc3b7
ERKAUC30,5,9,1453,147944d24f6e4dfe88437a26adb830f03d2167fad85d8f4e137968b48c353cda
ERKAUC30,5,10,1453,d29d0b4554d01822ec2ce704facb3b0e37221cb48a6529c79ff6b31737d5cafd
ERKAUC30,6,1,1454,6e07937fe2407bb1100d0d85d2f880c7d7cd5c4f5131188b955eda57214331fe
ERKAUC30,6,2,1454,fd759d79e02c2954652d336d65ba1974acdd63de34f950d89f932f80f63cae9b
ERKAUC30,6,3,1454,3b1f6bf8d34ffe4c734af5561609a445a307248fa5c3e4d3a2e505126817d833
ERKAUC30,6,4,1454,f677c74c0187b23f88d12ab4a2eacbed1c565541788475994ba6148e1f631d08
ERKAUC30,6,5,1454,21c15a87a3cc3bea01832d6f2ad8f7fd12ed8b3e23fe9683ae46010d29ff6fc5
ERKAUC30,6,6,1454,5707a70711f3fe17964cc598d1af513f7f7ed523b5d1c87f305b5f19b2e44eff
ERKAUC30,6,7,1454,60022c6b6f93ecb4182246baa93c7c6794fd5333888dd121fb4f2d9dcbe14199
ERKAUC30,6,8,1454,b5e0fa9177a6ffa5f3c46c470229fb91361d83c0667a8d0d51e74cd0b94d7037
ERKAUC30,6,9,1453,1d2704573d91da7c42cbc8bd0bd59a7fb3844b05bd8f5391be0ab88103ca19a5
ERKAUC30,6,10,1453,98e04dc0f7fdb0f53dfc9b16300e5d8d507112593846d0b901370734dcc5d62c
ERKAUC30,7,1,1454,6a2f7fb466fb32a04646fec78eb4b97728bb158a11c3605565c33e00bc85b3bb
ERKAUC30,7,2,1454,d331689cdcca1c116864e1ffe438bffb859f8f7af9b7b52bb96ef8c70bfe1cd3
ERKAUC30,7,3,1454,94b0c7bc0d08bc63d1084ca20150a040af352dd8ff666f04b6d38f356da6b84a
ERKAUC30,7,4,1454,11a3eb9a77b521efd41958ed17d136d826705181e68d3f4f4c5dfb89f9de813a
ERKAUC30,7,5,1454,b9b5b01adf7a07578dcd1a3ba637c3eafa8719bc58b0db7a4e2547e6c0c0f5bd
ERKAUC30,7,6,1454,92b9d04e54c4ab5421db01a6ac6b95e6cac6597b9480e0afe747ce6c5f77c418
ERKAUC30,7,7,1454,9daefe255294db5e2ee9b1cbd0b299553ab7b7819b472bf53b304a9b8e8a1b4d
ERKAUC30,7,8,1454,e94709c9f0a412b01942574fe654d71ee5aa4a5b425f164a8167279ceebda2e1
ERKAUC30,7,9,1453,53520b22f935b30bc5630605823c3c9ea46a3839a8bc7eb0bbc9a1fe911ae709
ERKAUC30,7,10,1453,13df18aac11dda956e8518a756176626b4db6ad6c965a1e31e1cd113c3480799
ERKAUC30,8,1,1454,e82dca7cc35351508a81c878b8b3c01dca29288676d79d87a0727f0c943d1dbf
ERKAUC30,8,2,1454,76fde71b7d672041f4002c9a86b106d3cd89692987616318f9718c0ca9a0dcaf
ERKAUC30,8,3,1454,8482a7355ad5d0b43b5e099762f0b8e6bf94c30e6674dbb0e5cd2e6d85bf3a5f
ERKAUC30,8,4,1454,a084a382d1e7736eba2d92c1702f2e8ade6d66d7a2ae5de21d7c746927018f4c
ERKAUC30,8,5,1454,06e73bb6aadecdc8b5ccf71ffa419ac8a57d99d33af942778653a696e5876748
ERKAUC30,8,6,1454,bc35dd09970c88ab4bf57f470116c0d187a3b95f0ce47e1f70d4e86bd1a0bcfd
ERKAUC30,8,7,1454,39891dcdfa99025ae4d077498e2e3f8cb97e4488afa082665edc14677832d444
ERKAUC30,8,8,1454,0ab408d00281f64933efd6d8fdb04d6b79a7687817c43ba351fdecc22679d9b5
ERKAUC30,8,9,1453,39f8caeac916c21bb2b456d00369a5017d9dcdfe19e5238d102144f57d545c8f
ERKAUC30,8,10,1453,29343f5a6955aaf0225a0af170f971843ddeda4c1a4c490e0832cad067014d82
ERKAUC30,9,1,1454,2178928851d20b0e0d762dcb9e82a42925f0461df34f3c6993f9264732415564
ERKAUC30,9,2,1454,e28b2c70acaf1aa36f5a7ed271e4098bd4ebb251707090670f43e60be0745772
ERKAUC30,9,3,1454,43976f9f64d0ff4bee8cb7ded5060e9e19acc3d2ebfc147e24bd90633d2521f8
ERKAUC30,9,4,1454,b148dc99eff270bf97d09dbd3d855b2fb2ce7a074357137209e377a1a24a958c
ERKAUC30,9,5,1454,f571c82c34d3b52898a7723b810f908c244105c11615c65971b0e662bf52d108
ERKAUC30,9,6,1454,12b82a6623f1e198ee2a5de6fe528ed98f3a304b589bbf64eced7abdc657c5ca
ERKAUC30,9,7,1454,6c19e066bc731b16270abc0557111c81f5ef32ac7613cff05618d5ce5bfb7c5e
ERKAUC30,9,8,1454,3cc99b02c7bb414b8080b8bab5cdf9dd3cc7f8c980756a7abd2dc8c613502b0c
ERKAUC30,9,9,1453,b098f8652e5ff1c2cb985d97b4d0f28241fe33365116c3c58e4e71c8569c49fe
ERKAUC30,9,10,1453,fe7c4e09bbdf1cea082d2b14cd3ee75925960440448158f263cd10ab084b3ea5
ERKIC50,0,1,1545,06c5bd831e20890f4c1ccc8a7cc8022007af9455f4ae1825a828f437c7575b5a
ERKIC50,0,2,1545,f8c972f0db6db925fbb6835e54d93c55cb619108a6251b3fdc18adbf4e6ee19e
ERKIC50,0,3,1545,47883b25fada0839a518a4f81eee4c31b7f61e3228d153c4ed7d274498a47fbc
ERKIC50,0,4,1544,60cd7b3bf1bbd45a8ba837546a6d18ffc9aa25f6e00711c9a62a47698272b930
ERKIC50,0,5,1544,b9a2dc1d5e029e012ad14f8067bba69cbd3839e22f3f1e6a2c6410ed1abcbb5b
ERKIC50,0,6,1544,bb10a72e56756a6f333cce7c6e052b3049771df3390e8b5aa3e84cd6619d6196
ERKIC50,0,7,1544,45d9fad7afa7c3d32b3c2b1e9ff6dbccf85208e31a943587942fd74d699c92a8
ERKIC50,0,8,1544,2c7c987bc50f6c92d325b6a019c8a3dc3d82159ce9771675692092f23c98835e
ERKIC50,0,9,1544,65586aac0083c113d35c80c24735a272af4acdbd4dd421ad26f20a4decea6768
ERKIC50,0,10,1544,32124fa6c911e78d0ee58311625f5b342ba56f393e79feb2bca66a3084e5f97b
ERKIC50,1,1,1545,5bbefbfe60c162f9dd3695b623967e354f3aac82ec0386e6f50d6da86819fc19
ERKIC50,1,2,1545,54be8739abde1a45177bc62d55f565e6e7652232d00a0e842c96788e27c65222
ERKIC50,1,3,1545,73976a8bb3b7e0d4a14caa0946364f6aa93e41884b01557d885f79ed2d9c9d55
ERKIC50,1,4,1544,a56205f5da68a400be92ca0a1cc52d02eaf0a7d3bde4006cf055164fef677048
ERKIC50,1,5,1544,8d1e3e9f272a46200690098b5e237e16cc3d158f9300872bd3ac4a2c9d29c231
ERKIC50,1,6,1544,e870be9ad86c618246e2feb37881bdc0f9a5067c63855ddf8d6cfaa0f74e4737
ERKIC50,1,7,1544,3cfa01e2603270f7fd96f515249462e0c2f77879d47198a65749492336a418c2
ERKIC50,1,8,1544,5d77f2bfcc05269c72b49facdd6a83d9829bd7da5f9cbee0dab7cbafae876c3a
ERKIC50,1,9,1544,197ea6a7d85d7c7f034df0d3a1bef280fe8fd7b5b07c797b4092211be701875c
ERKIC50,1,10,1544,08d5b0b644f9d4e308e1dd62ca21f966ed9928df373422d3c5be2b5e5863daa0
ERKIC50,2,1,1545,b33d4a5a56ab7e87555ff37dce0cfc5b0f7527c1b99f857a226922d298cf1a99
ERKIC50,2,2,1545,568a44c0ee1a1dbc7dca2123d17eda463919c49c8f0f623f1d269941ae6a9e5d
ERKIC50,2,3,1545,93fb4b6c3bd44a052abba6258c4a5a66e0514b97adcf81d26408c9630805c556
ERKIC50,2,4,1544,f7cc552520c93467d397d9816f16d7ecd97f95ff590ca42573dbb1411e709e15
ERKIC50,2,5,1544,90b7cef77870d8aa1ae4fc412a5c3f75bf524b1d25049a3d48bf3a2325270976
ERKIC50,2,6,1544,57ce2dd24231481ead6bb2ce85ca0821349486a2ac102468c3fd0755cfa98a11
ERKIC50,2,7,1544,8c66f29c1647d43c0784424a69464defc4bafa769421ba8d7ed51e2b7c9f2a10
ERKIC50,2,8,1544,a7ff843b1b3f1c8f73dfb4b1b51813259f88d05a8eb31096350eabc25a12f465
ERKIC50,2,9,1544,4e01cb9b0480fadd389289272ab6651e2ce3f0f0f6bb5dc6d693ef2763115dc0
ERKIC50,2,10,1544,5022c447cfaea6d8089ca3964c4f87e99a70737020752488c5ab6aa4cea03bb3
ERKIC50,3,1,1545,ef14c103f9003b28b550373a76dd588c86cffefc378588aa218ee8964e2f01a8
ERKIC50,3,2,1545,a50c94e88601bf0dede41ddeab99fa71a41ea0215b75781b09a401eb648d9943
ERKIC50,3,3,1545,7e0bf1bd2ca901e2d6f6801f647ffb4a0ac28099793f99da4f26db9b499faba4
ERKIC50,3,4,1544,e5bcc4dfa759c90af3b53758a274ac7b3f13c431d5a5d53106135c883b02cb00
ERKIC50,3,5,1544,5aa8618fd972af63ae5781f792567df64240ef67dda2d6059bba1c3e20209905
ERKIC50,3,6,1544,e7de749ff16eaf437db058858bc236ed9736d96b7ba0b834ac76d00700ad6fc8
ERKIC50,3,7,1544,21cfc8c5e89c38ab3236e7ed1bfe0bb2e091e9f45b86a7f15598bb51a1ff4b80
ERKIC50,3,8,1544,c1c7095ea5a2e8fcfba4e91de91fbe41d8650ac88dde3aa4872cd4f9a8f2d453
ERKIC50,3,9,1544,7e5aceb74231c886545baabe286d7e98dce4158a7661604548b02234fd75a7c3
ERKIC50,3,10,1544,9cb4070b82c4dd24e8048d1ebc2d18cd02e8e110dd32f4533a5b0d355685ee66
ERKIC50,4,1,1545,8d7c391325e48d2fbadf9e1fcd4244cc1bfb610367edb828dbabce0d62145893
ERKIC50,4,2,1545,5c73d505148598bc9f9b427077a0677c6518e634bca9f564cec96e787707dd9b
ERKIC50,4,3,1545,4972d200302843ef6e416da11d96931347570c6baeb1f1ca1a2058fa4a568759
ERKIC50,4,4,1544,05010e4922c1374d91db7a8545321ce443305d471b31c0e68235f5a0d95362a0
ERKIC50,4,5,1544,8545a7a93bc827a3374bc7f128d99bcb37e413592a1a275a94617a1c15d01ff9
